Order No,Placed,Customer,Item,Units,Gross,Disc,Stat
SO-10106,2023-10-28,A-7117,P-319,6,$594.00,$59.40,CMP
SO-10107,2023-12-28,A-7989,P-319,3,$297.00,$0.00,CMP
SO-10108,2024-10-23,A-7571,P-320,3,"$1,497.00",$0.00,CMP
SO-10109,2025-05-16,A-7344,P-308,9,"$2,691.00",$134.55,CMP
SO-10110,2024-04-21,A-7506,P-307,5,$745.00,$74.50,CMP
SO-10111,2023-04-17,A-7675,P-301,6,$294.00,$0.00,CMP
SO-10112,2024-01-31,A-7268,P-323,5,"$1,495.00",$74.75,CMP
SO-10113,2025-05-15,A-7066,P-309,5,"$4,495.00",$449.50,CMP
SO-10114,2024-03-18,A-7250,P-317,8,"$3,992.00",$0.00,CMP
SO-10115,2023-09-07,A-7186,P-308,9,"$2,691.00",$0.00,CMP
SO-10116,2023-10-04,A-7675,P-307,9,"$1,341.00",$134.10,CMP
SO-10117,2023-01-16,A-7773,P-306,3,$897.00,$44.85,CMP
SO-10118,2025-02-25,A-7643,P-319,3,$297.00,$0.00,CMP
SO-10119,2025-01-21,A-7284,P-316,7,"$10,493.00",$0.00,CMP
SO-10120,2024-09-25,A-7881,P-323,2,$598.00,$59.80,CMP
SO-10121,2023-12-03,A-7571,P-318,9,"$1,341.00",$0.00,CMP
SO-10122,2024-01-04,A-7847,P-309,1,$899.00,$0.00,CMP
SO-10123,2024-11-11,A-7171,P-303,9,"$2,691.00",$269.10,CMP
SO-10124,2023-10-07,A-7441,P-310,3,$297.00,$0.00,CMP
SO-10125,2024-02-18,A-7620,P-307,3,$447.00,$0.00,CMP
SO-10126,2023-05-03,A-7268,P-308,6,"$1,794.00",$0.00,CMP
SO-10127,2023-01-02,A-7989,P-306,3,$897.00,$0.00,CMP
SO-10128,2024-03-30,A-7874,P-307,7,"$1,043.00",$0.00,CMP
SO-10129,2024-03-26,A-7268,P-303,4,"$1,196.00",$0.00,CMP
SO-10130,2025-06-10,A-7378,P-308,5,"$1,495.00",$0.00,CMP
SO-10131,2023-10-26,A-7038,P-318,10,"$1,490.00",$0.00,CMP
SO-10132,2025-03-24,A-7874,P-301,2,$98.00,$4.90,CXL
SO-10133,2023-05-08,A-7100,P-305,10,$990.00,$49.50,CMP
SO-10134,2023-06-25,A-7240,P-324,4,"$5,996.00",$599.60,CXL
SO-10135,2024-11-15,A-7186,P-322,7,"$3,493.00",$0.00,CMP
SO-10136,2023-02-16,A-7441,P-323,9,"$2,691.00",$0.00,PND
SO-10137,2023-08-19,A-7632,P-319,3,$297.00,$0.00,CMP
SO-10138,2023-09-02,A-7683,P-312,2,"$1,798.00",$89.90,CMP
SO-10139,2024-02-03,A-7822,P-310,8,$792.00,$79.20,CXL
SO-10140,2023-04-08,A-7315,P-302,9,$891.00,$89.10,CMP
SO-10141,2023-02-21,A-7186,P-310,9,$891.00,$89.10,CMP
SO-10142,2023-05-17,A-7661,P-306,5,"$1,495.00",$0.00,CXL
SO-10143,2023-03-26,A-7989,P-303,10,"$2,990.00",$0.00,CMP
SO-10144,2024-12-02,A-7937,P-324,6,"$8,994.00",$449.70,CMP
SO-10145,2023-05-15,A-7061,P-319,1,$99.00,$9.90,RFD
SO-10146,2025-03-01,A-7925,P-316,10,"$14,990.00",$0.00,CMP
SO-10147,2024-09-29,A-7205,P-314,4,$196.00,$9.80,CXL
SO-10148,2023-09-30,A-7378,P-312,4,"$3,596.00",$0.00,PND
SO-10149,2025-02-08,A-7822,P-322,9,"$4,491.00",$224.55,RFD
SO-10150,2025-04-18,A-7315,P-320,1,$499.00,$0.00,PND
SO-10151,2023-12-10,A-7162,P-318,8,"$1,192.00",$119.20,CMP
SO-10152,2024-08-28,A-7281,P-315,9,"$8,091.00",$0.00,CXL
SO-10153,2023-05-10,A-7881,P-323,8,"$2,392.00",$119.60,CMP
SO-10154,2023-08-25,A-7028,P-308,8,"$2,392.00",$0.00,CXL
SO-10155,2024-03-22,A-7038,P-317,8,"$3,992.00",$0.00,CMP
SO-10156,2024-07-21,A-7267,P-313,1,$49.00,$2.45,CMP
SO-10157,2023-07-05,A-7333,P-307,3,$447.00,$0.00,RFD
SO-10158,2024-03-21,A-7889,P-313,1,$49.00,$4.90,CMP
SO-10159,2024-10-12,A-7162,P-314,9,$441.00,$0.00,CMP
SO-10160,2023-03-02,A-7060,P-304,9,"$2,691.00",$134.55,CXL
SO-10161,2024-03-19,A-7296,P-305,7,$693.00,$34.65,CMP
SO-10162,2024-07-10,A-7506,P-306,6,"$1,794.00",$179.40,CMP
SO-10163,2023-09-18,A-7281,P-316,2,"$2,998.00",$299.80,CMP
SO-10164,2024-09-16,A-7061,P-318,5,$745.00,$37.25,RFD
SO-10165,2024-11-12,A-7937,P-301,10,$490.00,$49.00,CMP
SO-10166,2024-02-27,A-7281,P-310,2,$198.00,$0.00,CMP
SO-10167,2024-09-08,A-7016,P-304,8,"$2,392.00",$0.00,PND
SO-10168,2024-04-18,A-7284,P-305,8,$792.00,$79.20,CMP
SO-10169,2024-01-24,A-7378,P-312,4,"$3,596.00",$179.80,CMP
SO-10170,2024-08-20,A-7603,P-324,2,"$2,998.00",$149.90,CMP
SO-10171,2024-02-07,A-7756,P-301,9,$441.00,$0.00,CMP
SO-10172,2025-06-13,A-7157,P-316,5,"$7,495.00",$0.00,CMP
SO-10173,2023-02-08,A-7222,P-319,5,$495.00,$0.00,CMP
SO-10174,2025-04-13,A-7643,P-317,10,"$4,990.00",$0.00,CMP
SO-10175,2024-12-10,A-7100,P-322,3,"$1,497.00",$0.00,CMP
SO-10176,2025-06-18,A-7639,P-323,10,"$2,990.00",$0.00,CMP
SO-10177,2023-05-05,A-7378,P-317,7,"$3,493.00",$349.30,CMP
SO-10178,2024-09-21,A-7861,P-302,8,$792.00,$39.60,CMP
SO-10179,2023-05-21,A-7889,P-315,2,"$1,798.00",$0.00,CXL
SO-10180,2023-05-06,A-7937,P-301,8,$392.00,$19.60,CMP
SO-10181,2023-03-23,A-7569,P-308,4,"$1,196.00",$0.00,CMP
SO-10182,2024-01-30,A-7937,P-317,2,$998.00,$49.90,CMP
SO-10183,2024-10-25,A-7247,P-318,9,"$1,341.00",$67.05,CMP
SO-10184,2023-01-25,A-7267,P-320,2,$998.00,$0.00,CMP
SO-10185,2024-10-02,A-7523,P-315,8,"$7,192.00",$359.60,CMP
SO-10186,2024-10-13,A-7250,P-310,8,$792.00,$0.00,CMP
SO-10187,2024-11-12,A-7315,P-305,9,$891.00,$89.10,CMP
SO-10188,2024-09-24,A-7117,P-310,9,$891.00,$0.00,CMP
SO-10189,2023-09-16,A-7550,P-309,7,"$6,293.00",$0.00,CMP
SO-10190,2023-12-28,A-7378,P-310,7,$693.00,$69.30,RFD
SO-10191,2024-04-02,A-7701,P-315,9,"$8,091.00",$404.55,CMP
SO-10192,2024-09-16,A-7222,P-301,10,$490.00,$0.00,CMP
SO-10193,2023-05-01,A-7267,P-302,5,$495.00,$24.75,CMP
SO-10194,2023-08-02,A-7874,P-318,3,$447.00,$22.35,CMP
SO-10195,2023-01-19,A-7523,P-308,7,"$2,093.00",$104.65,CMP
SO-10196,2023-09-24,A-7989,P-308,10,"$2,990.00",$299.00,PND
SO-10197,2024-11-16,A-7989,P-302,1,$99.00,$4.95,CXL
SO-10198,2023-02-13,A-7186,P-320,4,"$1,996.00",$199.60,CMP
SO-10199,2023-02-28,A-7281,P-317,5,"$2,495.00",$0.00,CMP
SO-10200,2025-05-15,A-7250,P-315,3,"$2,697.00",$0.00,CMP
SO-10201,2025-04-25,A-7889,P-307,2,$298.00,$0.00,PND
SO-10202,2025-03-23,A-7060,P-308,8,"$2,392.00",$0.00,CMP
SO-10203,2025-05-29,A-7112,P-313,7,$343.00,$0.00,CMP
SO-10204,2024-01-27,A-7100,P-304,5,"$1,495.00",$74.75,CMP
SO-10205,2023-11-05,A-7060,P-309,8,"$7,192.00",$0.00,CMP
SO-10206,2024-03-19,A-7861,P-303,6,"$1,794.00",$89.70,CMP
SO-10207,2025-05-22,A-7016,P-317,8,"$3,992.00",$199.60,CMP
SO-10208,2024-12-29,A-7632,P-311,7,"$1,043.00",$0.00,CMP
SO-10209,2024-02-21,A-7387,P-309,3,"$2,697.00",$134.85,PND
SO-10210,2023-05-26,A-7441,P-312,10,"$8,990.00",$0.00,CMP
SO-10211,2024-03-29,A-7675,P-315,3,"$2,697.00",$269.70,CMP
SO-10212,2024-03-09,A-7160,P-309,6,"$5,394.00",$0.00,CMP
SO-10213,2025-02-15,A-7060,P-311,8,"$1,192.00",$0.00,CMP
SO-10214,2024-07-25,A-7061,P-311,1,$149.00,$0.00,CMP
SO-10215,2025-03-26,A-7861,P-302,10,$990.00,$49.50,CMP
SO-10216,2025-04-26,A-7675,P-319,1,$99.00,$9.90,CXL
SO-10217,2023-12-18,A-7117,P-317,7,"$3,493.00",$0.00,CMP
SO-10218,2025-04-10,A-7171,P-315,2,"$1,798.00",$89.90,CMP
SO-10219,2024-12-09,A-7051,P-319,4,$396.00,$0.00,CMP
SO-10220,2023-06-02,A-7171,P-309,5,"$4,495.00",$449.50,RFD
SO-10221,2024-05-31,A-7569,P-317,9,"$4,491.00",$224.55,CMP
SO-10222,2023-03-25,A-7643,P-314,6,$294.00,$14.70,CMP
SO-10223,2023-01-25,A-7847,P-316,7,"$10,493.00","$1,049.30",CMP
SO-10224,2024-02-24,A-7682,P-302,5,$495.00,$0.00,CMP
SO-10225,2024-06-13,A-7901,P-302,9,$891.00,$89.10,PND
SO-10226,2023-11-15,A-7881,P-302,3,$297.00,$0.00,CXL
SO-10227,2023-03-21,A-7901,P-314,9,$441.00,$22.05,CMP
SO-10228,2023-01-10,A-7620,P-307,9,"$1,341.00",$0.00,RFD
SO-10229,2023-04-18,A-7047,P-319,10,$990.00,$0.00,CMP
SO-10230,2023-07-28,A-7016,P-321,2,$298.00,$29.80,CMP
SO-10231,2024-04-26,A-7066,P-319,8,$792.00,$39.60,CMP
SO-10232,2024-08-20,A-7250,P-309,2,"$1,798.00",$89.90,CMP
SO-10233,2023-03-24,A-7250,P-318,4,$596.00,$29.80,CMP
SO-10234,2024-10-24,A-7559,P-302,6,$594.00,$29.70,CMP
SO-10235,2024-02-17,A-7559,P-315,8,"$7,192.00",$0.00,CMP
SO-10236,2025-03-27,A-7881,P-320,5,"$2,495.00",$0.00,CMP
SO-10237,2025-05-30,A-7066,P-310,8,$792.00,$0.00,CMP
SO-10238,2025-05-18,A-7066,P-312,9,"$8,091.00",$0.00,PND
SO-10239,2024-02-17,A-7847,P-321,3,$447.00,$0.00,CXL
SO-10240,2023-08-03,A-7881,P-314,7,$343.00,$0.00,CMP
SO-10241,2024-06-17,A-7773,P-316,10,"$14,990.00",$749.50,CMP
SO-10242,2023-12-25,A-7612,P-324,7,"$10,493.00","$1,049.30",CMP
SO-10243,2023-01-04,A-7617,P-310,1,$99.00,$4.95,CMP
SO-10244,2023-05-02,A-7621,P-317,3,"$1,497.00",$0.00,CXL
SO-10245,2024-04-01,A-7240,P-320,5,"$2,495.00",$124.75,CMP
SO-10246,2023-01-03,A-7100,P-303,10,"$2,990.00",$0.00,CMP
SO-10247,2024-10-30,A-7061,P-306,3,$897.00,$0.00,CMP
SO-10248,2023-04-24,A-7016,P-302,5,$495.00,$49.50,CMP
SO-10249,2023-10-01,A-7571,P-323,8,"$2,392.00",$0.00,CMP
SO-10250,2023-09-17,A-7060,P-314,5,$245.00,$12.25,CMP
SO-10251,2023-05-05,A-7194,P-315,6,"$5,394.00",$269.70,CXL
SO-10252,2023-12-14,A-7874,P-304,3,$897.00,$0.00,CMP
SO-10253,2024-03-20,A-7060,P-301,1,$49.00,$0.00,CMP
SO-10254,2023-03-19,A-7162,P-308,2,$598.00,$59.80,CMP
SO-10255,2024-07-05,A-7112,P-315,9,"$8,091.00",$0.00,CMP
SO-10256,2025-02-26,A-7205,P-306,6,"$1,794.00",$89.70,CMP
SO-10257,2024-07-21,A-7894,P-315,5,"$4,495.00",$449.50,CXL
SO-10258,2024-07-14,A-7229,P-317,9,"$4,491.00",$0.00,CMP
SO-10259,2023-07-15,A-7617,P-309,6,"$5,394.00",$269.70,CMP
SO-10260,2024-11-21,A-7171,P-324,8,"$11,992.00",$0.00,CMP
SO-10261,2024-11-10,A-7675,P-312,4,"$3,596.00",$359.60,RFD
SO-10262,2024-02-11,A-7333,P-309,9,"$8,091.00",$0.00,CMP
SO-10263,2023-03-31,A-7617,P-324,6,"$8,994.00",$0.00,CMP
SO-10264,2024-03-07,A-7559,P-305,5,$495.00,$24.75,CMP
SO-10265,2025-02-20,A-7127,P-317,1,$499.00,$24.95,CMP
SO-10266,2024-05-16,A-7132,P-314,9,$441.00,$44.10,CMP
SO-10267,2024-03-22,A-7523,P-305,6,$594.00,$0.00,CMP
SO-10268,2024-11-05,A-7441,P-319,7,$693.00,$0.00,CMP
SO-10269,2024-03-25,A-7117,P-313,10,$490.00,$0.00,CMP
SO-10270,2023-12-21,A-7612,P-306,1,$299.00,$14.95,CMP
SO-10271,2025-05-29,A-7559,P-306,3,$897.00,$0.00,CMP
SO-10272,2024-09-01,A-7229,P-319,4,$396.00,$19.80,PND
SO-10273,2024-10-29,A-7894,P-319,1,$99.00,$0.00,CMP
SO-10274,2025-01-31,A-7268,P-319,5,$495.00,$49.50,RFD
SO-10275,2024-11-15,A-7682,P-317,7,"$3,493.00",$0.00,CXL
SO-10276,2024-02-14,A-7038,P-322,6,"$2,994.00",$149.70,CMP
SO-10277,2024-07-14,A-7060,P-321,7,"$1,043.00",$0.00,CMP
SO-10278,2025-04-09,A-7162,P-302,7,$693.00,$34.65,CMP
SO-10279,2024-10-29,A-7989,P-320,4,"$1,996.00",$199.60,CMP
SO-10280,2023-10-04,A-7366,P-318,5,$745.00,$37.25,CMP
SO-10281,2024-09-05,A-7550,P-302,6,$594.00,$0.00,RFD
SO-10282,2024-05-10,A-7296,P-323,9,"$2,691.00",$269.10,CMP
SO-10283,2024-02-28,A-7247,P-314,6,$294.00,$29.40,CMP
SO-10284,2023-05-26,A-7509,P-301,2,$98.00,$4.90,CMP
SO-10285,2024-08-02,A-7682,P-312,10,"$8,990.00",$449.50,CXL
SO-10286,2024-01-01,A-7559,P-317,8,"$3,992.00",$199.60,CMP
SO-10287,2024-09-29,A-7632,P-324,8,"$11,992.00",$599.60,CXL
SO-10288,2024-06-17,A-7643,P-311,9,"$1,341.00",$0.00,CMP
SO-10289,2023-05-06,A-7296,P-322,6,"$2,994.00",$299.40,CMP
SO-10290,2023-08-01,A-7989,P-305,8,$792.00,$0.00,CMP
SO-10291,2025-02-08,A-7937,P-323,2,$598.00,$0.00,RFD
SO-10292,2024-11-29,A-7861,P-302,2,$198.00,$0.00,CMP
SO-10293,2023-05-24,A-7509,P-301,9,$441.00,$44.10,CMP
SO-10294,2025-03-08,A-7441,P-319,1,$99.00,$4.95,CMP
SO-10295,2024-11-08,A-7441,P-319,1,$99.00,$4.95,CMP
SO-10296,2024-09-19,A-7186,P-322,3,"$1,497.00",$74.85,CMP
SO-10297,2023-08-10,A-7777,P-320,10,"$4,990.00",$0.00,CMP
SO-10298,2024-06-08,A-7366,P-306,2,$598.00,$59.80,CXL
SO-10299,2023-02-18,A-7889,P-310,2,$198.00,$19.80,CMP
SO-10300,2025-01-23,A-7925,P-303,3,$897.00,$44.85,CMP
