Order ID,Order Date,customer_id,SKU,Quantity,Amount,Discount %,Status
50101,02/03/2025,1083,KEY-123,7,"$1,040.11",0%,Completed
50102,2024-01-07,1055,HEA-130,4,"$2,377.20",0%,Completed
50103,2025-04-16,1002,HEA-130,6,"$3,977.64",0%,Completed
50104,09/08/2025,1095,HEA-130,2,"$1,264.77",10%,Completed
50105,2024-06-14,1014,KEY-123,5,$891.32,5%,Completed
50106,2024-05-09,1117,MON-112,5,$749.89,5%,Completed
50107,"Mar 29, 2024",1089,DOC-143,7,"$4,541.32",0%,Completed
50108,21/09/2025,1024,MON-113,7,"$5,579.59",10%,Completed
50109,2025-01-27,1032,HEA-130,3,"$1,737.35",15%,Completed
50110,"Jul 29, 2025",1005,MON-112,1,$150.21,15%,Completed
50111,"Sep 05, 2025",1100,LAP-103,7,"$1,058.30",0%,Completed
50112,11/03/2025,1058,KEY-121,4,"$2,386.14",10%,Completed
50113,25/09/2025,1031,LAP-100,1,$555.17,5%,Completed
50114,2025-04-29,1017,HEA-132,3,$637.22,0%,Completed
50115,2025-05-31,1006,LAP-102,8,"$7,221.98",15%,Completed
50116,25/02/2024,1084,KEY-122,2,$325.47,0%,Completed
50117,17/07/2024,1037,LAP-102,2,"$1,578.44",0%,Completed
50118,25/12/2024,1021,MON-113,2,"$1,481.78",0%,Completed
50119,27/05/2024,1027,KEY-120,8,$795.95,10%,Completed
50120,2024-11-22,1024,DOC-140,4,"$3,329.47",5%,Completed
50121,20/01/2025,1015,KEY-120,6,$578.45,10%,Completed
50122,"Jul 22, 2025",1113,KEY-123,8,"$1,426.25",0%,Completed
50123,15/01/2025,1074,DOC-141,7,"$8,273.82",0%,Completed
50124,"Aug 23, 2024",1007,LAP-102,8,"$6,422.07",0%,Completed
50125,"Oct 16, 2025",1119,KEY-120,5,$626.04,15%,Completed
50126,"Aug 14, 2024",1081,LAP-100,1,$421.91,5%,Completed
50127,"May 15, 2024",1084,KEY-123,1,$176.33,0%,Completed
50128,07/11/2024,1069,LAP-100,6,"$2,490.38",0%,Completed
50129,28/07/2024,1021,KEY-121,3,"$1,775.37",0%,Completed
50130,"Apr 06, 2025",1019,MON-113,3,"$1,854.92",15%,Completed
50131,"Jan 12, 2024",1115,HEA-130,5,"$2,588.66",0%,Completed
50132,"Sep 08, 2025",1064,DOC-142,8,"$7,373.53",0%,Completed
50133,04/03/2024,1024,LAP-100,1,$482.77,0%,Completed
50134,2025-09-19,1019,LAP-103,1,$156.05,5%,Completed
50135,19/09/2025,1009,DOC-143,7,"$3,568.04",0%,Completed
50136,"Jan 19, 2025",1117,HEA-133,1,$387.94,5%,Completed
50137,19/08/2024,1030,HEA-132,3,$768.22,15%,Completed
50138,"Dec 29, 2025",1071,KEY-122,5,$638.64,15%,Completed
50139,2024-10-29,1011,DOC-140,5,"$4,552.68",10%,Completed
50140,"Jul 26, 2024",1118,KEY-120,4,$497.76,0%,Completed
50141,"Sep 07, 2025",1118,HEA-130,6,"$3,328.83",15%,Refunded
50142,"Apr 28, 2025",1001,DOC-141,8,"$11,422.21",0%,Completed
50143,"Aug 05, 2024",1010,MON-113,5,"$3,443.78",10%,Completed
50144,"Jan 28, 2024",1119,MON-110,1,$654.10,0%,Completed
50145,"Feb 01, 2024",1083,MON-110,1,$636.51,15%,Completed
50146,08/03/2024,1026,LAP-102,1,"$1,006.61",10%,Completed
50147,2024-04-19,1015,LAP-102,7,"$5,765.89",0%,Completed
50148,2025-05-03,1102,LAP-102,5,"$3,898.52",15%,Completed
50149,09/03/2025,1033,KEY-122,6,$829.01,0%,Completed
50150,08/09/2025,1080,KEY-123,6,"$1,063.41",15%,Completed
50151,2025-03-22,1045,HEA-131,1,"$1,133.63",5%,Completed
50152,03/04/2024,1022,DOC-141,4,"$5,257.65",5%,Completed
50153,25/02/2024,1013,MON-112,5,$562.73,5%,Completed
50154,"Aug 29, 2025",1034,MON-111,8,"$4,037.20",10%,Refunded
50155,2025-12-17,1015,KEY-121,4,"$2,255.91",15%,Completed
50156,2025-10-05,1052,HEA-133,2,$655.75,5%,Completed
50157,2025-10-23,1039,LAP-102,7,"$5,301.10",0%,Completed
50158,"Jan 23, 2025",1030,DOC-141,3,"$4,466.35",5%,Completed
50159,"Dec 22, 2024",1020,DOC-143,1,$587.27,5%,Completed
50160,19/04/2025,1075,KEY-122,3,$441.17,0%,Completed
50161,03/06/2025,1097,HEA-132,4,$788.47,15%,Completed
50162,"Jun 08, 2024",1042,DOC-143,3,"$1,986.61",10%,Completed
50163,01/12/2024,1094,MON-111,4,"$2,450.09",0%,Completed
50164,2025-01-28,1102,LAP-103,4,$542.39,0%,Completed
50165,2024-07-19,1036,HEA-131,5,"$4,899.51",0%,Completed
50166,13/01/2024,1089,HEA-132,1,$212.31,0%,Completed
50167,"Jan 23, 2024",1095,KEY-121,8,"$4,363.64",5%,Completed
50168,"Dec 18, 2025",1083,MON-113,7,"$5,125.44",5%,Completed
50169,2025-11-26,1059,DOC-142,4,"$2,876.24",5%,Completed
50170,"Sep 05, 2024",1092,LAP-103,7,"$1,175.26",15%,Completed
50171,11/04/2025,1067,HEA-131,8,"$7,569.96",15%,Completed
50172,11/01/2024,1117,MON-111,6,"$3,072.05",0%,Completed
50173,2024-06-13,1067,DOC-141,4,"$5,499.92",0%,Completed
50174,08/07/2025,1066,DOC-142,8,"$5,802.84",0%,Completed
50175,24/02/2025,1027,KEY-123,6,"$1,147.80",15%,Completed
50176,2025-09-20,1033,DOC-140,2,"$1,655.00",0%,Completed
50177,17/03/2024,1081,LAP-101,1,$247.69,15%,Completed
50178,"Apr 21, 2024",1052,DOC-142,5,"$3,652.84",10%,Refunded
50179,2024-08-05,1104,HEA-130,8,"$4,317.50",15%,Completed
50180,"May 29, 2024",1107,DOC-141,4,"$4,879.03",5%,Completed
50181,2025-04-25,1035,KEY-121,3,"$1,768.26",15%,Completed
50182,2025-11-26,1104,KEY-120,7,$679.19,15%,Completed
50183,01/11/2025,1063,KEY-123,4,$661.29,5%,Completed
50184,05/06/2024,1008,LAP-102,6,"$6,169.65",0%,Completed
50185,"Jun 27, 2025",1075,KEY-122,3,$500.10,0%,Completed
50186,"Nov 02, 2025",1013,MON-112,2,$251.03,10%,Completed
50187,2025-04-07,1027,MON-113,3,"$2,034.03",5%,Completed
50188,"Nov 15, 2025",1101,MON-111,2,"$1,205.85",15%,Completed
50189,2025-12-10,1095,MON-112,8,$975.41,5%,Completed
50190,2024-09-27,1061,LAP-103,2,$298.62,5%,Completed
50191,2024-05-27,1064,HEA-133,8,"$2,969.86",0%,Completed
50192,"Nov 24, 2024",1064,LAP-100,3,"$1,417.94",15%,Completed
50193,"Mar 12, 2025",1010,HEA-132,6,"$1,282.56",0%,Completed
50194,"Sep 16, 2025",1120,LAP-100,1,$405.43,0%,Completed
50195,2025-05-11,1005,LAP-103,8,"$1,332.83",0%,Completed
50196,06/04/2024,1044,MON-110,6,"$5,051.21",5%,Completed
50197,17/10/2024,1033,DOC-141,4,"$5,019.35",10%,Completed
50198,29/12/2024,1043,KEY-121,5,"$3,435.39",10%,Refunded
50199,2024-07-27,1043,DOC-140,6,"$5,485.05",0%,Completed
50200,2025-08-23,1101,KEY-121,3,"$2,151.06",0%,Completed
50201,12/07/2025,1039,DOC-141,7,"$9,199.40",0%,Completed
50202,2025-09-15,1101,MON-112,8,"$1,174.19",10%,Completed
50203,"Sep 23, 2025",1090,DOC-143,7,"$3,531.23",15%,Completed
50204,10/02/2024,1081,LAP-102,4,"$3,799.14",0%,Completed
50205,"Mar 07, 2025",1002,MON-111,1,$580.39,0%,Completed
50206,29/07/2025,1024,MON-110,5,"$4,019.57",5%,Completed
50207,2025-08-02,1064,LAP-100,7,"$3,502.28",10%,Completed
50208,12/08/2025,1058,LAP-103,7,"$1,144.22",0%,Completed
50209,"May 01, 2025",1014,HEA-130,3,"$1,986.90",0%,Completed
50210,2025-10-03,1002,MON-112,3,$339.14,15%,Completed
50211,2024-05-04,1036,LAP-102,4,"$3,153.71",15%,Completed
50212,"Feb 21, 2024",1092,HEA-132,3,$629.65,15%,Completed
50213,05/10/2025,1059,LAP-102,5,"$4,584.70",15%,Refunded
50214,2024-02-02,1114,KEY-120,1,$90.72,15%,Completed
50215,"Feb 02, 2025",1077,DOC-143,2,"$1,071.44",0%,Refunded
50216,"Nov 19, 2024",1094,HEA-133,1,$332.62,5%,Completed
50217,"Apr 29, 2024",1021,MON-111,3,"$1,522.50",15%,Completed
50218,"Apr 08, 2025",1043,HEA-133,7,"$2,797.16",0%,Completed
50219,2025-09-12,1107,DOC-143,6,"$3,688.44",0%,Completed
50220,"Sep 09, 2024",1049,KEY-121,7,"$4,157.63",10%,Completed
50221,17/10/2024,1034,MON-113,8,"$6,075.98",0%,Completed
50222,"Oct 22, 2024",1019,DOC-142,1,$893.82,0%,Refunded
50223,"Dec 21, 2024",1071,DOC-141,8,"$10,378.55",5%,Completed
50224,"Nov 12, 2024",1051,MON-112,4,$558.50,5%,Completed
50225,2025-01-29,1069,KEY-120,1,$106.92,0%,Completed
50226,16/08/2025,1114,MON-113,7,"$5,037.18",10%,Completed
50227,2024-07-12,1024,DOC-140,4,"$3,144.50",15%,Completed
50228,2025-02-16,1032,DOC-142,6,"$5,276.71",0%,Refunded
50229,18/04/2024,1101,HEA-133,6,"$1,998.60",0%,Completed
50230,"Dec 19, 2024",1003,DOC-143,1,$529.90,0%,Completed
50231,23/08/2025,1119,DOC-142,8,"$6,579.85",0%,Completed
50232,17/09/2024,1026,HEA-132,3,$734.64,0%,Completed
50233,"Feb 05, 2024",1059,LAP-100,1,$486.89,5%,Refunded
50234,2024-05-02,1033,LAP-102,7,"$6,731.15",0%,Completed
50235,2024-07-06,1048,LAP-102,7,"$6,189.46",0%,Refunded
50236,09/02/2024,1008,MON-113,3,"$2,459.40",10%,Completed
50237,"Jun 09, 2025",1098,LAP-101,5,"$1,361.92",5%,Completed
50238,"Jan 06, 2024",1096,MON-110,6,"$5,167.94",0%,Completed
50239,27/04/2025,1050,HEA-132,2,$413.62,0%,Completed
50240,2025-03-27,1118,HEA-130,3,"$1,663.98",15%,Completed
50241,2024-02-06,1010,HEA-132,4,$778.33,10%,Completed
50242,09/04/2024,1108,MON-110,8,"$6,863.67",0%,Completed
50243,26/11/2024,1015,HEA-132,6,"$1,460.19",15%,Completed
50244,28/02/2024,1071,KEY-122,4,$536.48,0%,Completed
50245,2025-03-04,1004,MON-110,5,"$3,645.99",0%,Completed
50246,2024-06-20,1041,KEY-121,6,"$3,419.98",5%,Completed
50247,"Jun 09, 2025",1119,LAP-103,3,$392.35,0%,Completed
50248,20/09/2024,1056,KEY-121,2,"$1,344.06",0%,Refunded
50249,2025-02-03,1008,MON-113,2,"$1,328.86",15%,Refunded
50250,28/03/2025,1066,MON-110,1,$828.18,0%,Completed
50251,2024-07-09,1117,DOC-140,5,"$4,144.21",5%,Completed
50252,"May 21, 2024",1099,DOC-142,3,"$2,689.63",0%,Completed
50253,"Mar 30, 2024",1064,MON-112,2,$304.63,0%,Completed
50254,2025-08-19,1009,MON-110,4,"$2,812.87",15%,Completed
50255,14/06/2025,1037,HEA-131,1,"$1,243.30",15%,Completed
50256,16/01/2024,1018,HEA-133,2,$674.98,15%,Completed
50257,07/02/2024,1074,MON-111,6,"$2,832.54",10%,Completed
50258,12/06/2025,1092,KEY-123,8,"$1,213.78",0%,Completed
50259,2025-08-13,1038,KEY-122,7,"$1,138.87",0%,Refunded
50260,"Jun 09, 2025",1018,HEA-133,8,"$2,343.69",0%,Completed
50261,2025-09-25,1040,LAP-102,4,"$3,217.80",0%,Completed
50262,"Apr 08, 2024",1025,LAP-100,1,$545.64,0%,Completed
50263,19/06/2025,1014,DOC-143,8,"$4,174.91",0%,Completed
50264,06/10/2024,1075,MON-111,1,$464.92,10%,Completed
50265,2024-05-04,1070,LAP-103,2,$297.25,10%,Completed
50266,"Nov 15, 2025",1051,MON-113,3,"$2,195.81",0%,Refunded
50267,"Dec 11, 2025",1068,LAP-100,7,"$3,255.61",0%,Completed
50268,12/12/2024,1092,LAP-101,6,"$1,477.01",5%,Completed
50269,2025-02-14,1042,DOC-142,6,"$5,386.10",10%,Completed
50270,2025-03-08,1047,KEY-123,4,$746.56,0%,Completed
50271,"Mar 19, 2025",1003,LAP-102,6,"$4,859.79",0%,Completed
50272,2025-10-10,1005,HEA-130,8,"$4,126.67",15%,Completed
50273,2025-10-05,1080,DOC-143,5,"$2,898.89",0%,Completed
50274,2025-03-20,1037,DOC-140,1,$793.07,0%,Completed
50275,"Mar 02, 2024",1116,MON-111,2,"$1,096.89",0%,Completed
50276,2025-03-26,1114,DOC-142,3,"$2,110.85",0%,Completed
50277,2024-10-07,1095,DOC-142,5,"$3,678.28",10%,Completed
50278,"Oct 27, 2025",1091,HEA-132,4,$845.62,0%,Completed
50279,19/09/2025,1004,DOC-141,5,"$6,365.39",0%,Completed
50280,22/08/2025,1021,MON-112,7,$911.17,0%,Completed
50281,2024-10-03,1038,KEY-122,8,"$1,114.82",0%,Completed
50282,12/09/2025,1085,MON-111,2,"$1,195.08",0%,Completed
50283,"Apr 21, 2024",1095,HEA-132,6,"$1,327.43",0%,Completed
50284,"Nov 22, 2025",1109,KEY-123,3,$478.38,0%,Completed
50285,"May 01, 2025",1091,DOC-140,2,"$1,604.70",15%,Completed
50286,"Apr 15, 2024",1075,MON-110,7,"$4,390.10",0%,Completed
50287,03/03/2025,1112,DOC-142,3,"$2,694.91",10%,Completed
50288,"Dec 10, 2025",1046,HEA-130,8,"$4,792.87",0%,Completed
50289,"Oct 25, 2025",1109,DOC-140,7,"$5,724.60",5%,Completed
50290,2025-07-03,1056,KEY-121,3,"$1,736.85",10%,Completed
50291,"Dec 04, 2024",1108,MON-113,2,"$1,345.26",0%,Refunded
50292,11/01/2024,1073,MON-112,7,$794.50,5%,Completed
50293,05/07/2025,1067,DOC-141,5,"$6,669.22",10%,Completed
50294,"Apr 20, 2025",1087,HEA-131,7,"$7,512.40",0%,Completed
50295,21/06/2025,1048,LAP-100,2,$869.27,10%,Completed
50296,11/07/2024,1052,DOC-141,3,"$4,443.34",5%,Completed
50297,2025-12-09,1022,DOC-142,6,"$4,875.28",0%,Completed
50298,"Jun 08, 2025",1115,LAP-102,5,"$4,012.04",0%,Completed
50299,08/10/2025,1105,DOC-140,7,"$5,388.68",10%,Completed
50300,"Jul 05, 2024",1078,MON-112,7,$805.38,0%,Completed
50301,11/01/2024,1091,LAP-101,7,"$1,953.04",15%,Completed
50302,"Apr 10, 2024",1004,KEY-121,7,"$4,460.45",0%,Completed
50303,"Oct 24, 2025",1019,DOC-141,5,"$7,258.27",10%,Completed
50304,"May 28, 2024",1014,DOC-143,2,"$1,012.63",0%,Completed
50305,2025-04-23,1084,MON-111,8,"$4,414.12",0%,Completed
50306,27/05/2024,1036,DOC-142,6,"$5,173.45",0%,Completed
50307,"Dec 23, 2024",1050,LAP-103,2,$275.36,0%,Completed
50308,2025-03-26,1032,HEA-130,1,$517.42,0%,Completed
50309,18/11/2024,1039,DOC-142,3,"$2,016.12",5%,Completed
50310,"Sep 05, 2024",1092,HEA-133,2,$737.10,10%,Completed
50311,2025-12-29,1012,KEY-121,7,"$4,313.31",0%,Completed
50312,08/01/2024,1051,HEA-130,3,"$2,109.43",10%,Completed
50313,2024-12-09,1016,KEY-122,7,"$1,016.93",5%,Completed
50314,31/01/2025,1045,KEY-123,4,$635.18,0%,Completed
50315,2024-12-15,1091,KEY-120,1,$119.39,0%,Completed
50316,2025-07-22,1021,KEY-120,3,$318.98,0%,Completed
50317,2025-10-06,1039,HEA-130,7,"$4,903.38",5%,Completed
50318,"Nov 22, 2025",1034,MON-113,8,"$5,013.42",10%,Completed
50319,"Jul 01, 2025",1066,DOC-142,6,"$4,418.53",0%,Completed
50320,"Jul 09, 2025",1099,LAP-103,2,$342.90,5%,Completed
50321,"Nov 14, 2024",1012,DOC-142,3,"$2,023.23",15%,Completed
50322,2024-07-11,1009,MON-113,6,"$4,520.11",10%,Completed
50323,16/07/2024,1012,DOC-140,5,"$3,717.94",0%,Completed
50324,30/12/2024,1100,HEA-130,5,"$2,940.32",15%,Completed
50325,"Jun 29, 2024",1103,MON-110,5,"$3,167.41",15%,Completed
50326,05/11/2025,1032,HEA-131,1,"$1,203.17",5%,Completed
50327,"Oct 25, 2024",1094,LAP-103,3,$401.31,0%,Completed
50328,10/02/2024,1026,LAP-101,7,"$1,846.64",0%,Completed
50329,2025-10-06,1073,LAP-101,5,"$1,331.67",0%,Completed
50330,"Mar 21, 2025",1045,DOC-140,5,"$4,593.44",0%,Completed
50331,2025-08-22,1032,KEY-121,1,$641.58,15%,Completed
50332,2024-12-19,1054,KEY-122,4,$650.42,15%,Completed
50333,14/10/2024,1055,DOC-143,4,"$2,307.73",5%,Refunded
50334,"Jun 04, 2025",1027,DOC-140,8,"$5,921.79",5%,Completed
50335,"Jul 12, 2024",1106,MON-110,8,"$5,096.13",10%,Completed
50336,14/10/2025,1032,DOC-141,3,"$3,509.05",0%,Completed
50337,04/04/2024,1018,KEY-123,7,"$1,115.78",0%,Completed
50338,2024-08-31,1066,HEA-133,8,"$2,974.69",15%,Completed
50339,2024-05-16,1076,KEY-123,5,$998.57,10%,Completed
50340,2024-06-22,1077,LAP-103,7,"$1,137.53",5%,Completed
50341,2024-04-27,1047,HEA-130,4,"$2,584.58",5%,Completed
50342,"Nov 07, 2024",1040,LAP-101,5,"$1,144.45",5%,Refunded
50343,31/03/2025,1038,MON-111,6,"$3,157.08",0%,Completed
50344,24/04/2025,1011,LAP-101,1,$296.36,15%,Completed
50345,21/04/2024,1063,DOC-142,5,"$4,216.88",0%,Completed
50346,"Jan 02, 2025",1037,KEY-122,1,$171.11,15%,Completed
50347,2024-03-21,1004,KEY-120,4,$381.29,5%,Completed
50348,"Jul 09, 2024",1109,KEY-121,6,"$4,288.82",15%,Completed
50349,23/01/2025,1041,KEY-121,6,"$3,325.67",0%,Completed
50350,2024-09-16,1014,DOC-141,6,"$7,026.76",10%,Completed
50351,09/08/2024,1094,HEA-130,1,$606.50,0%,Refunded
50352,2024-05-25,1018,DOC-143,2,"$1,215.10",5%,Completed
50353,10/02/2024,1025,HEA-130,2,"$1,357.32",0%,Completed
50354,"Sep 17, 2025",1055,LAP-100,1,$534.34,0%,Completed
50355,2024-12-12,1086,LAP-101,7,"$1,522.40",0%,Completed
50356,"Oct 29, 2024",1087,MON-111,7,"$3,106.99",0%,Completed
50357,09/07/2025,1055,HEA-133,2,$655.07,10%,Completed
50358,2025-09-15,1093,MON-110,7,"$5,469.16",15%,Completed
50359,"Jan 12, 2025",1018,KEY-121,7,"$4,308.02",0%,Completed
50360,"Jul 12, 2024",1058,DOC-140,1,$788.96,15%,Completed
50361,22/07/2025,1047,DOC-142,6,"$4,956.74",10%,Completed
50362,2024-09-24,1114,HEA-132,7,"$1,340.18",0%,Completed
50363,2024-09-16,1068,LAP-103,4,$644.42,15%,Completed
50364,"Jul 21, 2025",1074,HEA-133,4,"$1,372.52",15%,Completed
50365,21/02/2025,1018,DOC-140,2,"$1,842.80",10%,Completed
50366,16/04/2025,1070,LAP-103,2,$340.68,0%,Refunded
50367,"Apr 05, 2024",1008,MON-112,8,$947.98,5%,Completed
50368,2024-01-16,1059,KEY-123,1,$188.93,0%,Completed
50369,2024-03-30,1073,MON-110,7,"$5,471.44",0%,Completed
50370,10/01/2025,1103,KEY-123,3,$574.49,15%,Completed
50371,"Sep 02, 2024",1068,KEY-120,2,$207.58,0%,Completed
50372,12/04/2024,1103,LAP-101,6,"$1,454.11",10%,Completed
50373,28/12/2024,1003,MON-113,5,"$3,207.47",10%,Completed
50374,23/04/2024,1024,LAP-100,8,"$3,278.96",0%,Completed
50375,27/05/2024,1069,KEY-121,7,"$4,463.51",15%,Completed
50376,2024-01-15,1063,KEY-120,8,$729.66,10%,Completed
50377,"Mar 17, 2024",1087,LAP-101,1,$227.63,10%,Completed
50378,10/12/2025,1030,HEA-133,3,"$1,164.05",10%,Completed
50379,2025-06-24,1076,KEY-123,6,$961.66,10%,Completed
50380,23/04/2025,1050,MON-111,6,"$3,011.08",0%,Completed
50381,2024-12-07,1059,KEY-122,8,"$1,091.52",10%,Completed
50382,2024-10-06,1065,MON-110,3,"$2,167.04",0%,Completed
50383,"Dec 16, 2025",1116,DOC-142,3,"$2,038.60",0%,Completed
50384,2025-01-06,1112,HEA-131,2,"$2,472.51",0%,Completed
50385,"Jan 06, 2025",1032,KEY-121,6,"$3,727.49",0%,Completed
